id,symbol,last_price,best_bid,best_ask,spread,spread_percent,volume,timestamp
369,BNBIRT,114097494.0,114158104.0,114766230.0,608126.0,0.5327050631464587,0.0,1785496754
370,SOLIRT,14205045.0,14185761.0,14234566.0,48805.0,0.3440421701733168,0.0,1785496754
371,XRPIRT,207720.0,207246.0,207723.0,477.0,0.23016125763585304,0.0,1785496754
372,DOGEIRT,13452.0,13406.0,13457.0,51.0,0.380426674623303,0.0,1785496754
373,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496761
374,ETHIRT,364908337.0,364233147.0,364908337.0,675190.0,0.18537302427337837,0.0,1785496761
375,BNBIRT,114097494.0,114158104.0,114766230.0,608126.0,0.5327050631464587,0.0,1785496761
376,SOLIRT,14205045.0,14169671.0,14234566.0,64895.0,0.45798522774452555,0.0,1785496761
377,XRPIRT,207720.0,207246.0,207768.0,522.0,0.2518745838279146,0.0,1785496761
378,DOGEIRT,13452.0,13400.0,13458.0,58.0,0.43283582089552236,0.0,1785496761
379,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496769
380,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496769
381,BNBIRT,114097494.0,114097494.0,114766230.0,668736.0,0.5861092794903979,0.0,1785496769
382,SOLIRT,14205045.0,14169671.0,14234566.0,64895.0,0.45798522774452555,0.0,1785496769
383,XRPIRT,207720.0,207246.0,207768.0,522.0,0.2518745838279146,0.0,1785496769
384,DOGEIRT,13452.0,13400.0,13458.0,58.0,0.43283582089552236,0.0,1785496769
385,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496776
386,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496776
387,BNBIRT,114097494.0,114097494.0,114820630.0,723136.0,0.6337878025612026,0.0,1785496776
388,SOLIRT,14205045.0,14169671.0,14234566.0,64895.0,0.45798522774452555,0.0,1785496776
389,XRPIRT,207720.0,207246.0,207768.0,522.0,0.2518745838279146,0.0,1785496776
390,DOGEIRT,13452.0,13400.0,13458.0,58.0,0.43283582089552236,0.0,1785496776
391,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496783
392,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496783
393,BNBIRT,114097494.0,114097494.0,114820628.0,723134.0,0.6337860496743251,0.0,1785496783
394,SOLIRT,14205045.0,14169671.0,14234566.0,64895.0,0.45798522774452555,0.0,1785496783
395,XRPIRT,207720.0,207246.0,207768.0,522.0,0.2518745838279146,0.0,1785496783
396,DOGEIRT,13452.0,13400.0,13458.0,58.0,0.43283582089552236,0.0,1785496783
397,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496791
398,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496791
399,BNBIRT,114097494.0,114097494.0,114820820.0,723326.0,0.6339543268145749,0.0,1785496791
400,SOLIRT,14205045.0,14174538.0,14234566.0,60028.0,0.4234917568389178,0.0,1785496791
401,XRPIRT,207720.0,207246.0,207890.0,644.0,0.3107418237263928,0.0,1785496791
402,DOGEIRT,13452.0,13400.0,13458.0,58.0,0.43283582089552236,0.0,1785496791
403,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496799
404,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496799
405,BNBIRT,114097494.0,114127945.0,114831796.0,703851.0,0.6167209967725258,0.0,1785496799
406,SOLIRT,14205045.0,14174538.0,14234566.0,60028.0,0.4234917568389178,0.0,1785496799
407,XRPIRT,207720.0,207246.0,207890.0,644.0,0.3107418237263928,0.0,1785496799
408,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496799
409,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496806
410,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496806
411,BNBIRT,114097494.0,114127946.0,114831795.0,703849.0,0.6167192389495909,0.0,1785496806
412,SOLIRT,14205045.0,14174538.0,14234566.0,60028.0,0.4234917568389178,0.0,1785496806
413,XRPIRT,207720.0,207246.0,207890.0,644.0,0.3107418237263928,0.0,1785496806
414,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496806
415,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496814
416,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496814
417,BNBIRT,114097494.0,114127946.0,114837734.0,709788.0,0.621923047664417,0.0,1785496814
418,SOLIRT,14205045.0,14174538.0,14234567.0,60029.0,0.42349881174257675,0.0,1785496814
419,XRPIRT,207720.0,207246.0,207890.0,644.0,0.3107418237263928,0.0,1785496814
420,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496814
421,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496822
422,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496822
423,BNBIRT,114097494.0,114212939.0,114837734.0,624795.0,0.5470439737129958,0.0,1785496822
424,SOLIRT,14205045.0,14174538.0,14234566.0,60028.0,0.4234917568389178,0.0,1785496822
425,XRPIRT,207720.0,207246.0,207890.0,644.0,0.3107418237263928,0.0,1785496822
426,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496822
427,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496829
428,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496829
429,BNBIRT,114097494.0,114212939.0,114837734.0,624795.0,0.5470439737129958,0.0,1785496829
430,SOLIRT,14205045.0,14182741.0,14234566.0,51825.0,0.3654089149622065,0.0,1785496829
431,XRPIRT,207720.0,207247.0,207890.0,643.0,0.3102578083156813,0.0,1785496829
432,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496829
433,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496837
434,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496837
435,BNBIRT,114097494.0,114212939.0,114837734.0,624795.0,0.5470439737129958,0.0,1785496837
436,SOLIRT,14205045.0,14183477.0,14234566.0,51089.0,0.3602008167672849,0.0,1785496837
437,XRPIRT,207720.0,207247.0,207890.0,643.0,0.3102578083156813,0.0,1785496837
438,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496837
439,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496844
440,ETHIRT,364908337.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496844
441,BNBIRT,114097494.0,114212939.0,114837734.0,624795.0,0.5470439737129958,0.0,1785496844
442,SOLIRT,14205045.0,14183477.0,14234566.0,51089.0,0.3602008167672849,0.0,1785496844
443,XRPIRT,207247.0,207247.0,207890.0,643.0,0.3102578083156813,0.0,1785496844
444,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496844
445,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496852
446,ETHIRT,365011167.0,364233148.0,365011167.0,778019.0,0.213604666206822,0.0,1785496852
447,BNBIRT,114097494.0,114212939.0,114837734.0,624795.0,0.5470439737129958,0.0,1785496852
448,SOLIRT,14205045.0,14183477.0,14234566.0,51089.0,0.3602008167672849,0.0,1785496852
449,XRPIRT,207247.0,207247.0,207890.0,643.0,0.3102578083156813,0.0,1785496852
450,DOGEIRT,13452.0,13400.0,13463.0,63.0,0.4701492537313433,0.0,1785496852
451,BTCIRT,12350984548.0,12348336052.0,12350984548.0,2648496.0,0.02144820151352324,0.0,1785496859
452,ETHIRT,365011167.0,364233147.0,365011167.0,778020.0,0.21360494134269442,0.0,1785496859
